name,engine,sampling_rate,duration,duration_stdev,duration_median,duration_min,duration_max,num_warnings,num_warnings_stdev,num_warnings_median,num_warnings_min,num_warnings_max
/home/users/nus/dws.lim/scratch/traces/STD-Format/airlinetickets.std,HBEpoch,0.03,0.88,1.4658006101006469,0.0,0,8,0,0.0,0.0,0,0
/home/users/nus/dws.lim/scratch/traces/STD-Format/critical.std,HBEpoch,0.03,0.36,0.7494215456345145,0.0,0,3,0,0.0,0.0,0,0
/home/users/nus/dws.lim/scratch/traces/STD-Format/boundedbuffer.std,UClockEpoch,0.03,0.4,0.9689042833036097,0.0,0,5,0,0.0,0.0,0,0
/home/users/nus/dws.lim/scratch/traces/STD-Format/account.std,UClockEpoch,0.03,0.56,0.8369039151929606,0.0,0,4,0.04,0.1979486637221574,0.0,0,1
/home/users/nus/dws.lim/scratch/traces/STD-Format/mergesort.std,UClockEpoch,0.03,2.14,1.399854219815297,2.0,0,7,0,0.0,0.0,0,0
/home/users/nus/dws.lim/scratch/traces/STD-Format/clean.std,HBEpoch,0.03,9.7,7.335265669965852,8.0,2,42,0.04,0.1979486637221574,0.0,0,1
/home/users/nus/dws.lim/scratch/traces/STD-Format/airlinetickets.std,UClockEpoch,0.03,0.6,0.8329931278350429,0.0,0,4,0.02,0.1414213562373095,0.0,0,1
/home/users/nus/dws.lim/scratch/traces/STD-Format/critical.std,UClockEpoch,0.03,0.56,0.9293403409880339,0.0,0,4,0.02,0.1414213562373095,0.0,0,1
/home/users/nus/dws.lim/scratch/traces/STD-Format/array.std,HBEpoch,0.03,0.42,0.6091144458665099,0.0,0,2,0,0.0,0.0,0,0
/home/users/nus/dws.lim/scratch/traces/STD-Format/moldyn.std,UClockEpoch,0.03,18.62,14.011496737191445,15.0,3,58,99.82,142.00168007054404,2.0,0,434
/home/users/nus/dws.lim/scratch/traces/STD-Format/clean.std,UClockEpoch,0.03,8.68,5.2893423841856615,7.0,2,28,0.08,0.27404751561786966,0.0,0,1
/home/users/nus/dws.lim/scratch/traces/STD-Format/ftpserver.std,UClockEpoch,0.03,49.26,21.369260776228295,46.0,16,134,0.04,0.1979486637221574,0.0,0,1
/home/users/nus/dws.lim/scratch/traces/STD-Format/sunflow.std,HBEpoch,0.03,25.44,13.995859446016635,21.0,6,64,0.22,0.5816935163286381,0.0,0,3
/home/users/nus/dws.lim/scratch/traces/STD-Format/array.std,UClockEpoch,0.03,0.5,0.6468132241526726,0.0,0,2,0,0.0,0.0,0,0
/home/users/nus/dws.lim/scratch/traces/STD-Format/bubblesort.std,HBEpoch,0.03,9.6,7.790627545391988,8.0,2,51,2.72,2.02070910972422,2.0,0,9
/home/users/nus/dws.lim/scratch/traces/STD-Format/wronglock.std,HBEpoch,0.03,3.14,2.6264743187282025,2.5,0,18,0.42,0.7848046682754498,0.0,0,3
/home/users/nus/dws.lim/scratch/traces/STD-Format/twostage.std,HBEpoch,0.03,2.3,2.052872551885702,2.0,0,12,0,0.0,0.0,0,0
/home/users/nus/dws.lim/scratch/traces/STD-Format/jigsaw.std,HBEpoch,0.03,24.64,12.278669076317446,22.0,7,69,0.02,0.1414213562373095,0.0,0,1
/home/users/nus/dws.lim/scratch/traces/STD-Format/raytracer.std,HBEpoch,0.03,1.66,1.4085743262792565,1.0,1,8,0.32,1.1682884743006212,0.0,0,8
