name,engine,sampling_rate,duration,duration_stdev,duration_median,duration_min,duration_max,num_warnings,num_warnings_stdev,num_warnings_median,num_warnings_min,num_warnings_max
/home/users/nus/dws.lim/scratch/traces/STD-Format/account.std,UClockEpoch,1.0,1.9,1.1005049346146119,1.5,1,4,6,0.0,6.0,6,6
/home/users/nus/dws.lim/scratch/traces/STD-Format/sunflow.std,HBEpoch,1.0,26.3,8.152027695951208,25.5,17,43,116,0.0,116.0,116,116
/home/users/nus/dws.lim/scratch/traces/STD-Format/lang.std,HBEpoch,1.0,17.7,16.28939668755244,12.0,7,62,800,0.0,800.0,800,800
/home/users/nus/dws.lim/scratch/traces/STD-Format/linkedlist.std,HBEpoch,1.0,545.6,69.05424598740392,540.5,437,630,28791,0.0,28791.0,28791,28791
/home/users/nus/dws.lim/scratch/traces/STD-Format/sor.std,HBEpoch,1.0,624.7,77.72608599720202,610.5,533,794,0,0.0,0.0,0,0
/home/users/nus/dws.lim/scratch/traces/STD-Format/linkedlist.std,UClockEpoch,1.0,244.9,37.81078623297267,234.5,198,311,28791,0.0,28791.0,28791,28791
/home/users/nus/dws.lim/scratch/traces/STD-Format/lufact.std,HBEpoch,1.0,254.1,59.677745712563016,239.0,191,402,864413,0.0,864413.0,864413,864413
/home/users/nus/dws.lim/scratch/traces/STD-Format/clean.std,HBEpoch,1.0,13.3,6.8321137122985425,11.5,5,26,32,0.0,32.0,32,32
/home/users/nus/dws.lim/scratch/traces/STD-Format/clean.std,UClockEpoch,1.0,11.9,3.4464152068167553,13.0,7,17,30,0.0,30.0,30,30
/home/users/nus/dws.lim/scratch/traces/STD-Format/twostage.std,HBEpoch,1.0,3,0.9428090415820634,3.0,2,5,4,0.0,4.0,4,4
/home/users/nus/dws.lim/scratch/traces/STD-Format/twostage.std,UClockEpoch,1.0,3,1.0540925533894598,3.0,2,5,4,0.0,4.0,4,4
/home/users/nus/dws.lim/scratch/traces/STD-Format/lufact.std,UClockEpoch,1.0,161.3,35.677724142663585,150.5,131,250,360859,0.0,360859.0,360859,360859
/home/users/nus/dws.lim/scratch/traces/STD-Format/sor.std,UClockEpoch,1.0,563.1,75.13461992391464,549.0,464,684,0,0.0,0.0,0,0
/home/users/nus/dws.lim/scratch/traces/misc/tradesoap/tradesoap_filter.std,UClockEpoch,1.0,328.2,19.696587408877598,332.5,288,356,720,0.0,720.0,720,720
/home/users/nus/dws.lim/scratch/traces/STD-Format/pingpong.std,HBEpoch,1.0,1.7,0.6749485577105528,2.0,1,3,10,0.0,10.0,10,10
/home/users/nus/dws.lim/scratch/traces/misc/biojava/biojava_filter.std,HBEpoch,1.0,14.2,18.683325899493017,8.0,5,66,2,0.0,2.0,2,2
/home/users/nus/dws.lim/scratch/traces/STD-Format/cryptorsa.std,HBEpoch,1.0,510.6,99.33131989010873,473.5,409,736,93,0.0,93.0,93,93
