name,engine,sampling_rate,duration,duration_stdev,duration_median,duration_min,duration_max,num_warnings,num_warnings_stdev,num_warnings_median,num_warnings_min,num_warnings_max,num_original_acquires,num_original_acquires_stdev,num_original_acquires_median,num_original_acquires_min,num_original_acquires_max,num_uclock_acquires,num_uclock_acquires_stdev,num_uclock_acquires_median,num_uclock_acquires_min,num_uclock_acquires_max,uclock_acquires_rate,uclock_acquires_rate_stdev,uclock_acquires_rate_median,uclock_acquires_rate_min,uclock_acquires_rate_max,num_original_releases,num_original_releases_stdev,num_original_releases_median,num_original_releases_min,num_original_releases_max,num_uclock_releases,num_uclock_releases_stdev,num_uclock_releases_median,num_uclock_releases_min,num_uclock_releases_max,uclock_releases_rate,uclock_releases_rate_stdev,uclock_releases_rate_median,uclock_releases_rate_min,uclock_releases_rate_max,num_original_joins,num_original_joins_stdev,num_original_joins_median,num_original_joins_min,num_original_joins_max,num_uclock_joins,num_uclock_joins_stdev,num_uclock_joins_median,num_uclock_joins_min,num_uclock_joins_max,uclock_joins_rate,uclock_joins_rate_stdev,uclock_joins_rate_median,uclock_joins_rate_min,uclock_joins_rate_max
/home/users/nus/dws.lim/scratch/traces/STD-Format/lang.std,HBEpoch,0.05,10.2,9.80420567815628,8.0,2,61,7.8,3.1622776601683795,7.0,0,17,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0
/home/users/nus/dws.lim/scratch/traces/STD-Format/producerconsumer.std,HBEpoch,0.05,4.08,2.058729546817351,4.0,1,9,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0
/home/users/nus/dws.lim/scratch/traces/STD-Format/boundedbuffer.std,HBEpoch,0.05,0.56,0.9293403409880339,0.0,0,5,0.08,0.3404678653660853,0.0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0
/home/users/nus/dws.lim/scratch/traces/STD-Format/producerconsumer.std,UClockEpoch,0.05,3.96,1.9373872580759641,3.5,1,11,0,0.0,0.0,0,0,34,0.0,34.0,34,34,22.44,3.0044864412258883,22.5,17,28,0.66,0.08836724827134965,0.661764705882353,0.5,0.8235294117647058,34,0.0,34.0,34,34,20.96,3.030188247671509,21.0,15,27,0.6164705882352941,0.08912318375504438,0.6176470588235294,0.4411764705882353,0.7941176470588235,5,0.0,5.0,5,5,4.2,0.40406101782088427,4.0,4,5,0.8400000000000001,0.08081220356417684,0.8,0.8,1.0
/home/users/nus/dws.lim/scratch/traces/STD-Format/moldyn.std,HBEpoch,0.05,26.94,16.02219124355024,23.5,5,82,464.76,317.0704911002136,361.5,1,1029,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0
/home/users/nus/dws.lim/scratch/traces/STD-Format/lang.std,UClockEpoch,0.05,7.72,6.8214547493888125,6.0,1,31,6.62,2.783992141673169,6.0,2,14,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,5,0.0,5.0,5,5,5,0.0,5.0,5,5,1.0,0.0,1.0,1.0,1.0
/home/users/nus/dws.lim/scratch/traces/STD-Format/luindex.std,UClockEpoch,0.05,51.14,23.68932421224069,47.0,22,121,0,0.0,0.0,0,0,6628,0.0,6628.0,6628,6628,1.58,0.6727949622466639,1.0,1,3,0.0002383826191913096,0.00010150799068296073,0.00015087507543753772,0.00015087507543753772,0.00045262522631261314,6628,0.0,6628.0,6628,6628,269.64,18.382289613336294,269.0,224,310,0.04068195534097767,0.002773429332126779,0.04058539529269765,0.03379601689800845,0.04677127338563669,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0
/home/users/nus/dws.lim/scratch/traces/STD-Format/derby.std,UClockEpoch,0.05,86.46,22.361784091505356,85.0,37,150,0.06,0.31363569143000214,0.0,0,2,21610,0.0,21610.0,21610,21610,572.2,16.390639439158246,571.0,543,609,0.026478482184173993,0.0007584747542414736,0.026422952336881075,0.025127255900046275,0.028181397501156873,21610,0.0,21610.0,21610,21610,7549.64,101.1718602484033,7541.0,7346,7830,0.3493586302637668,0.00468171495827872,0.3489588153632578,0.3399352151781583,0.3623322535863026,2,0.0,2.0,2,2,1.02,0.1414213562373095,1.0,1,2,0.51,0.07071067811865475,0.5,0.5,1.0
/home/users/nus/dws.lim/scratch/traces/STD-Format/batik.std,HBEpoch,0.05,2.06,1.503872552133732,2.0,0,8,0.26,0.7230886134196437,0.0,0,4,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0
/home/users/nus/dws.lim/scratch/traces/STD-Format/batik.std,UClockEpoch,0.05,1.78,0.8873257230439734,2.0,1,4,0.4,0.9689042833036098,0.0,0,4,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0
